CGPA,Internships,Projects,Workshops/Certification,AptitudeTestScore,Skill Test Score,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,PlacementStatus
2.98,1,2,1,64,3.8,No,Yes,82,64,NotPlaced
3.47,2,3,2,83,4.8,No,Yes,74,83,NotPlaced
3.87,2,3,2,81,4.8,Yes,Yes,87,85,Placed
2.93,1,1,0,71,4.5,Yes,No,90,64,NotPlaced
3.73,2,3,2,90,4.6,Yes,Yes,74,85,Placed
3.6,0,1,0,71,4,Yes,Yes,60,69,NotPlaced
3.47,0,3,2,85,4.3,Yes,No,89,63,NotPlaced
3.64,2,3,2,90,4.8,Yes,Yes,85,83,Placed
3.38,1,3,0,82,3.8,Yes,Yes,78,65,NotPlaced
3.42,1,1,1,71,4.4,Yes,Yes,66,73,NotPlaced
3.38,1,2,2,65,4.8,Yes,No,58,72,NotPlaced
3.73,1,3,0,82,4.8,Yes,Yes,75,81,Placed
3.42,1,3,1,84,3.9,No,Yes,55,78,NotPlaced
2.93,0,3,0,86,4.8,No,No,79,66,NotPlaced
3.2,1,1,1,62,4,No,No,74,63,NotPlaced
3.33,0,2,1,69,4.5,No,Yes,55,60,NotPlaced
2.89,1,1,1,68,4.6,No,No,58,63,NotPlaced
3.69,2,3,0,85,4.7,Yes,Yes,73,87,NotPlaced
3.96,1,3,2,83,4.6,Yes,Yes,71,84,Placed
3.24,1,1,1,68,3.3,No,Yes,55,67,NotPlaced
3.47,1,1,0,77,4.1,No,Yes,64,67,NotPlaced
3.33,1,1,0,68,3.7,No,No,57,63,NotPlaced
3.82,1,1,3,81,4.7,No,Yes,72,86,Placed
3.33,0,2,0,63,4.5,Yes,Yes,56,62,Placed
3.82,2,3,1,90,4.8,Yes,Yes,58,71,Placed
3.07,1,1,0,67,4.1,Yes,Yes,62,71,NotPlaced
3.69,1,3,2,90,4.8,Yes,Yes,79,84,Placed
3.51,0,1,1,73,4.1,No,Yes,79,80,NotPlaced
3.64,1,2,2,90,4.7,Yes,Yes,83,87,NotPlaced
3.51,1,1,0,72,3.6,No,No,55,68,NotPlaced
2.89,1,2,2,70,4.1,No,No,68,68,NotPlaced
3.42,1,1,0,67,3.6,No,No,57,64,NotPlaced
3.6,2,1,0,86,4.3,Yes,Yes,72,80,NotPlaced
3.64,2,3,2,83,3.8,Yes,Yes,73,69,NotPlaced
3.56,1,2,0,85,4.3,Yes,Yes,69,81,NotPlaced
3.51,1,3,2,88,4.5,Yes,No,90,69,Placed
3.78,1,3,2,90,4.8,Yes,Yes,87,85,Placed
2.98,1,1,0,71,4.3,No,Yes,57,60,Placed
3.24,0,1,1,80,4.5,No,Yes,55,69,NotPlaced
3.6,1,3,2,90,4.8,Yes,Yes,84,88,Placed
4.04,2,1,3,84,4.8,Yes,Yes,81,85,Placed
3.82,1,3,2,89,4.6,Yes,Yes,75,83,Placed
2.98,2,1,1,77,4.5,Yes,Yes,64,62,NotPlaced
3.51,1,2,0,66,4.5,No,Yes,60,63,NotPlaced
3.69,1,3,2,74,4.7,Yes,Yes,78,84,NotPlaced
3.82,1,3,2,82,4.8,Yes,Yes,85,86,Placed
3.16,1,1,0,74,4.6,Yes,No,55,75,NotPlaced
3.24,1,1,0,77,4.3,Yes,Yes,66,68,NotPlaced
3.42,1,3,2,85,4.8,Yes,Yes,80,86,Placed
3.78,1,3,0,74,4.3,Yes,Yes,78,62,Placed
3.33,1,2,1,76,3.4,No,No,55,65,NotPlaced
2.89,0,2,1,72,3.9,No,Yes,59,60,NotPlaced
3.11,2,2,1,74,4.3,No,Yes,55,83,NotPlaced
3.47,1,3,1,90,4.4,Yes,Yes,85,82,Placed
3.73,2,3,2,89,4.6,Yes,Yes,74,86,Placed
2.98,2,1,1,75,4.6,No,No,61,67,NotPlaced
3.82,0,3,2,85,4.7,Yes,Yes,78,80,Placed
3.6,1,2,2,84,4.5,Yes,Yes,78,84,Placed
3.47,2,3,2,90,4.8,Yes,Yes,88,80,Placed
2.89,1,1,1,83,4.7,No,No,55,71,NotPlaced
3.82,0,3,1,81,4.6,Yes,Yes,74,85,Placed
3.6,1,3,2,70,4.7,No,Yes,65,75,Placed
3.78,2,3,2,86,4.7,Yes,No,76,80,NotPlaced
2.89,0,2,1,80,3.9,No,No,55,65,NotPlaced
3.69,1,2,1,74,4.2,Yes,Yes,76,81,NotPlaced
3.38,2,3,0,90,4.8,Yes,Yes,79,67,Placed
3.02,1,1,2,84,4.5,Yes,Yes,69,88,NotPlaced
3.6,0,2,0,75,4.3,Yes,Yes,60,72,NotPlaced
3.64,2,3,2,90,4.8,Yes,Yes,79,84,Placed
3.47,2,3,3,82,4.3,Yes,Yes,88,84,NotPlaced
3.42,0,1,1,77,3.3,No,No,56,68,NotPlaced
3.87,1,2,1,90,4.6,Yes,Yes,75,88,Placed
3.47,0,2,1,65,4.3,Yes,No,56,67,Placed
3.69,1,2,2,83,4.2,Yes,Yes,55,88,Placed
3.02,1,1,1,84,4.2,No,No,55,69,NotPlaced
3.29,1,1,0,77,4.2,No,Yes,55,70,NotPlaced
3.82,2,3,2,88,4.5,Yes,Yes,82,85,NotPlaced
2.89,1,1,1,60,3.4,No,No,55,68,NotPlaced
3.73,1,3,2,80,4.4,Yes,Yes,61,79,NotPlaced
3.69,2,3,2,86,4.8,Yes,Yes,78,86,Placed
3.38,1,2,1,75,4.3,Yes,Yes,80,67,Placed
3.33,1,2,0,67,4.2,No,No,55,64,NotPlaced
2.89,2,3,0,84,4.8,No,Yes,62,84,NotPlaced
2.89,0,1,1,90,3.7,No,Yes,64,71,NotPlaced
3.6,1,1,1,77,4.6,Yes,Yes,73,87,NotPlaced
2.98,1,2,1,85,4.4,No,Yes,55,71,NotPlaced
3.16,1,2,0,72,4.4,Yes,No,69,69,NotPlaced
3.73,2,3,2,90,4.7,Yes,Yes,78,83,Placed
3.38,0,3,0,90,4.7,No,Yes,73,77,NotPlaced
2.89,1,1,0,79,4.4,No,Yes,55,69,NotPlaced
3.64,1,3,2,85,4.4,Yes,Yes,76,88,Placed
2.89,1,1,1,64,3.4,No,No,56,61,NotPlaced
3.64,1,2,1,90,4.8,Yes,No,82,63,NotPlaced
3.87,2,3,2,90,4.8,Yes,Yes,89,86,Placed
3.69,2,3,2,89,4.1,Yes,Yes,77,77,Placed
3.51,1,2,2,83,4.5,Yes,No,69,87,Placed
2.98,0,2,1,79,3.3,No,No,73,69,NotPlaced
3.38,0,1,0,69,4.7,No,No,56,67,NotPlaced
3.64,2,3,2,90,4.8,Yes,Yes,78,88,Placed
2.89,1,2,1,82,4.4,No,Yes,55,69,NotPlaced
3.69,1,2,1,81,4,Yes,Yes,55,63,NotPlaced
3.69,1,3,1,73,4.5,Yes,Yes,83,66,Placed
2.89,2,3,0,88,4.5,No,No,79,62,NotPlaced
3.38,1,2,1,73,4.3,Yes,Yes,56,67,NotPlaced
2.89,1,1,1,71,4.1,No,No,56,70,NotPlaced
2.89,1,1,0,79,4.4,No,Yes,55,69,NotPlaced
3.6,2,2,2,90,4.6,No,No,88,79,NotPlaced
3.38,2,2,2,81,4.3,No,Yes,85,82,NotPlaced
3.69,2,3,2,87,4.7,No,Yes,71,85,Placed
3.33,0,1,1,62,3.7,No,No,55,65,NotPlaced
3.42,1,3,2,78,4.1,Yes,Yes,77,82,Placed
3.42,0,2,2,72,4.8,Yes,No,85,67,NotPlaced
3.91,2,3,2,90,4.8,Yes,Yes,84,88,Placed
2.89,1,2,1,80,4.8,No,No,83,65,NotPlaced
3.24,1,2,3,85,4.3,Yes,Yes,81,87,NotPlaced
2.89,0,1,0,80,4.3,No,No,61,60,NotPlaced
3.42,1,3,2,83,4.8,Yes,Yes,82,82,Placed
3.87,1,3,2,72,4.8,Yes,Yes,84,72,Placed
3.38,1,3,0,75,4,No,Yes,55,73,NotPlaced
3.47,1,1,0,74,3.8,No,No,61,68,NotPlaced
3.56,1,3,2,88,3.9,No,No,88,71,Placed
3.47,1,3,1,80,4.2,No,Yes,71,87,NotPlaced
3.29,1,1,1,79,4,Yes,No,55,70,Placed
3.24,1,3,0,87,4.3,No,Yes,55,86,Placed
3.56,2,3,3,84,4,Yes,Yes,75,60,NotPlaced
3.24,1,1,1,66,4.4,No,No,60,64,NotPlaced
3.29,1,2,1,66,4.3,No,No,78,70,NotPlaced
3.69,1,2,2,87,4.3,Yes,Yes,81,88,Placed
3.69,1,3,1,83,4.1,No,Yes,66,82,NotPlaced
3.96,0,2,1,79,4.6,No,No,62,75,NotPlaced
3.51,1,1,0,68,3.9,No,No,62,74,NotPlaced
3.33,1,1,0,73,4,No,No,74,70,NotPlaced
3.69,1,2,0,78,4.4,Yes,Yes,57,81,NotPlaced
3.38,2,1,2,79,4.4,No,Yes,57,70,NotPlaced
2.89,0,1,1,64,4.5,Yes,Yes,70,87,NotPlaced
3.38,0,1,0,71,4,No,Yes,58,66,NotPlaced
3.69,1,2,2,78,4.4,Yes,Yes,76,85,Placed
3.73,2,3,2,90,4.8,Yes,Yes,78,83,Placed
3.47,2,3,2,90,4.5,Yes,Yes,82,82,Placed
3.64,1,1,1,76,3.5,No,Yes,85,63,Placed
3.82,1,3,0,77,4,No,Yes,55,70,NotPlaced
3.29,0,1,1,82,4.5,No,Yes,55,69,NotPlaced
3.29,1,2,2,77,4.6,Yes,Yes,66,83,Placed
3.73,2,2,2,78,4.1,No,Yes,83,80,Placed
3.78,2,3,2,85,4.8,Yes,Yes,87,83,Placed
2.89,1,1,1,76,3.9,Yes,Yes,68,62,NotPlaced
3.69,2,3,2,87,4.8,Yes,Yes,83,86,Placed
3.24,1,2,1,70,4,No,No,55,73,NotPlaced
3.42,1,1,0,67,4.4,No,Yes,81,73,NotPlaced
3.64,2,2,2,76,4.3,Yes,Yes,76,66,Placed
3.6,2,3,2,89,4.8,Yes,Yes,88,67,NotPlaced
2.89,1,1,0,70,4.1,Yes,Yes,58,58,NotPlaced
3.91,2,3,2,90,4.6,Yes,Yes,85,83,Placed
3.82,2,3,2,90,4.8,Yes,Yes,71,81,Placed
2.89,1,2,1,79,3.9,No,Yes,55,70,NotPlaced
3.6,0,1,0,70,3.6,Yes,Yes,65,63,NotPlaced
3.07,1,2,1,68,3.8,Yes,Yes,70,66,NotPlaced
3.87,2,3,2,89,4.5,Yes,Yes,63,87,Placed
3.2,1,1,1,63,3.9,No,No,61,67,NotPlaced
2.89,1,1,0,78,3.9,No,Yes,57,70,NotPlaced
2.89,1,3,0,83,4.8,Yes,No,87,81,NotPlaced
3.64,1,3,2,83,4.3,Yes,No,83,63,NotPlaced
3.51,2,3,2,90,4.7,Yes,Yes,88,65,Placed
3.87,2,3,2,86,4.8,Yes,Yes,81,84,Placed
3.42,0,3,2,90,4.5,No,Yes,86,86,Placed
3.56,0,2,2,75,3.8,Yes,No,76,82,NotPlaced
3.42,1,1,1,90,4.1,No,Yes,75,71,Placed
2.89,2,3,2,79,3.7,Yes,Yes,57,68,Placed
2.89,1,2,0,73,4.5,No,Yes,79,63,NotPlaced
3.51,1,3,2,82,4.4,Yes,Yes,80,88,NotPlaced
3.64,1,1,0,75,4.5,No,No,60,87,NotPlaced
3.69,1,3,2,74,4.4,Yes,Yes,82,82,Placed
3.87,1,3,1,71,4.8,Yes,Yes,76,81,Placed
3.42,1,1,1,68,4.2,No,Yes,74,74,NotPlaced
3.69,2,3,2,90,4.8,Yes,Yes,80,87,Placed
3.42,1,1,0,81,4.3,No,No,60,70,Placed
2.93,0,2,2,77,4.2,No,Yes,55,66,NotPlaced
3.42,1,1,2,69,4.7,No,Yes,72,63,NotPlaced
3.16,1,1,1,72,3.9,No,No,57,57,NotPlaced
2.89,1,1,0,74,3.6,No,Yes,58,67,NotPlaced
3.6,1,2,0,90,4.6,Yes,Yes,84,86,Placed
2.98,2,1,1,69,3.8,No,Yes,62,61,NotPlaced
3.29,1,2,1,66,3.5,No,No,55,65,NotPlaced
3.38,1,2,0,65,4.8,Yes,Yes,73,85,NotPlaced
3.73,2,3,0,90,4.7,Yes,Yes,78,83,Placed
3.47,1,1,0,78,4.4,Yes,No,56,66,NotPlaced
3.78,1,3,2,90,4.8,Yes,Yes,79,86,Placed
3.38,1,1,1,60,4.4,No,Yes,59,70,NotPlaced
3.42,1,1,0,81,3.9,No,Yes,76,68,NotPlaced
3.91,2,3,2,90,4.8,Yes,Yes,84,80,Placed
3.42,1,1,1,82,3.8,No,No,55,71,NotPlaced
3.38,1,1,1,81,4.5,No,Yes,63,67,NotPlaced
3.51,2,1,1,80,4.7,Yes,Yes,85,84,Placed
3.87,2,3,1,90,4.8,Yes,Yes,72,83,NotPlaced
2.98,1,1,0,75,4.1,No,No,64,59,NotPlaced
3.11,1,2,1,83,4.8,Yes,Yes,58,64,NotPlaced
3.38,1,1,0,62,4.2,No,Yes,55,80,NotPlaced
3.11,1,3,2,75,4.4,Yes,Yes,74,63,Placed
3.29,1,2,1,75,4.3,No,Yes,55,66,NotPlaced
3.16,1,1,2,71,4.2,No,Yes,57,71,NotPlaced
3.6,2,3,0,66,4.2,Yes,No,63,58,NotPlaced
3.38,1,1,1,62,3.8,No,Yes,74,68,NotPlaced
3.69,1,3,2,89,4.8,Yes,Yes,86,86,Placed
3.02,1,1,0,69,4,No,No,55,63,NotPlaced
3.29,0,1,1,67,3.4,No,No,62,64,NotPlaced
3.2,1,2,1,72,4.4,No,Yes,63,74,NotPlaced
3.51,1,3,1,82,4.1,No,Yes,55,69,NotPlaced
3.6,1,2,1,85,4.7,No,Yes,55,80,NotPlaced
3.42,1,2,2,85,4.8,Yes,Yes,87,86,Placed
3.29,1,1,0,68,3.5,No,No,61,70,NotPlaced
2.93,0,1,2,79,4.2,Yes,No,69,84,Placed
3.38,1,2,0,80,3.8,Yes,Yes,55,66,NotPlaced
3.56,1,2,2,73,4.4,No,No,83,61,NotPlaced
3.07,1,1,1,65,4.4,No,Yes,62,71,NotPlaced
3.69,1,3,1,87,4.4,Yes,Yes,59,83,Placed
3.82,1,3,1,85,4.8,Yes,No,73,86,NotPlaced
3.29,1,1,1,70,3.7,No,No,55,68,NotPlaced
3.07,0,2,0,63,4.3,No,No,69,68,NotPlaced
3.24,0,1,0,75,3.9,No,Yes,57,63,NotPlaced
3.78,1,2,2,79,4.3,Yes,Yes,82,84,Placed
3.42,0,2,0,77,4.6,Yes,Yes,71,72,NotPlaced
3.38,0,1,1,71,3.9,No,Yes,66,65,NotPlaced
3.2,1,1,0,76,4,No,Yes,65,68,NotPlaced
3.64,2,1,1,75,3.7,Yes,Yes,68,84,NotPlaced
3.33,1,2,0,81,4,Yes,Yes,71,88,Placed
3.56,2,3,2,88,4.6,Yes,Yes,81,87,Placed
3.38,0,3,0,82,4.4,Yes,No,84,80,NotPlaced
3.69,1,2,0,78,4.5,No,Yes,63,60,NotPlaced
3.29,1,2,2,77,3.7,Yes,Yes,79,88,NotPlaced
3.47,1,2,1,77,4.6,Yes,Yes,71,76,Placed
3.33,0,1,0,66,4.2,No,No,58,65,NotPlaced
3.87,2,3,2,90,4.8,Yes,Yes,90,80,Placed
3.64,0,3,0,90,4.4,Yes,Yes,86,78,Placed
3.38,1,3,0,81,4.7,Yes,Yes,79,82,Placed
3.47,1,1,1,79,3.8,No,No,55,74,Placed
3.6,1,2,2,83,4.5,No,Yes,77,82,NotPlaced
3.56,1,3,2,90,4.8,Yes,Yes,71,82,NotPlaced
3.69,2,2,2,76,4.6,No,Yes,55,71,Placed
2.89,1,1,0,70,4.4,No,Yes,74,72,NotPlaced
3.51,0,3,0,87,3.9,Yes,Yes,78,82,NotPlaced
3.42,0,3,0,88,4.8,Yes,Yes,73,77,Placed
3.6,2,3,2,86,4.7,Yes,Yes,84,84,Placed
3.29,1,1,0,77,4.5,No,Yes,69,73,NotPlaced
3.51,2,3,2,90,4.8,Yes,No,71,62,Placed
2.93,0,1,0,73,4.3,Yes,Yes,58,68,NotPlaced
2.89,0,1,0,71,3.9,No,Yes,66,66,NotPlaced
3.29,1,3,1,71,4.4,Yes,No,63,76,NotPlaced
3.6,1,2,0,77,4.8,Yes,Yes,80,87,Placed
2.89,0,1,0,70,4.2,Yes,No,64,81,NotPlaced
3.6,2,3,2,89,4.8,Yes,No,79,83,Placed
3.24,0,3,0,83,4.3,Yes,No,73,74,NotPlaced
3.6,1,1,0,68,4.4,No,No,58,86,Placed
2.89,1,1,0,88,4,Yes,Yes,58,70,Placed
3.02,0,1,0,72,4,Yes,Yes,80,65,Placed
3.47,1,1,0,90,4.3,No,Yes,69,84,Placed
3.69,1,2,0,83,4.2,Yes,No,79,84,NotPlaced
3.47,0,3,0,81,4.2,Yes,Yes,67,66,NotPlaced
3.42,1,2,0,82,4.1,No,No,55,65,NotPlaced
3.51,1,1,1,67,3.3,Yes,Yes,71,68,NotPlaced
2.89,0,3,2,84,4.4,Yes,Yes,68,72,Placed
3.73,0,3,2,81,4.8,Yes,Yes,84,84,NotPlaced
2.89,2,1,1,76,4.8,Yes,No,74,69,NotPlaced
3.6,2,3,3,85,4.8,Yes,No,57,82,NotPlaced
3.56,1,1,0,70,4.3,No,No,62,64,NotPlaced
3.69,1,2,1,77,4.6,Yes,Yes,82,80,Placed
3.02,1,2,0,67,4.1,No,Yes,57,65,NotPlaced
3.29,0,2,0,74,4.1,No,Yes,64,63,Placed
3.38,1,1,0,80,3.6,No,No,55,67,NotPlaced
3.24,1,1,0,61,3.3,No,No,55,67,NotPlaced
3.42,1,1,0,69,4.4,No,No,55,69,NotPlaced
3.47,1,3,1,88,4,No,Yes,72,83,NotPlaced
3.73,0,2,3,82,4.4,Yes,Yes,77,88,Placed
3.51,1,3,2,88,4.8,Yes,Yes,77,88,NotPlaced
3.02,1,2,0,80,3.8,No,Yes,77,80,Placed
3.73,2,3,2,90,4.8,Yes,Yes,77,88,Placed
3.51,1,2,1,77,4.3,No,No,55,63,Placed
3.64,1,1,1,68,3.7,Yes,No,68,62,NotPlaced
3.38,1,1,0,73,4.3,No,Yes,68,64,NotPlaced
3.38,1,2,0,76,4.8,Yes,Yes,71,79,NotPlaced
3.69,1,2,0,69,4.4,No,Yes,55,63,NotPlaced
3.78,1,3,2,90,4.8,Yes,Yes,80,85,Placed
3.29,1,1,0,64,3.7,No,No,56,59,NotPlaced
3.6,2,2,0,78,4.8,Yes,No,58,79,NotPlaced
3.56,2,3,2,79,4.3,Yes,No,64,69,NotPlaced
3.38,0,1,0,75,4.3,Yes,Yes,55,66,NotPlaced
3.38,2,3,1,89,4.5,Yes,No,72,84,Placed
3.73,0,1,2,76,3.4,No,Yes,77,85,Placed
3.6,2,3,2,85,4.5,No,Yes,55,75,Placed
3.69,1,3,3,90,4.8,Yes,Yes,67,85,Placed
3.33,1,3,0,85,4.6,Yes,Yes,80,69,Placed
3.64,2,3,2,81,4.5,Yes,Yes,74,88,Placed
3.73,1,2,0,76,4.7,Yes,Yes,55,65,NotPlaced
3.82,2,3,2,90,4.7,Yes,Yes,75,88,Placed
3.33,0,2,1,74,4.5,Yes,Yes,77,73,Placed
3.87,2,3,2,90,4.8,Yes,Yes,74,81,NotPlaced
3.64,1,3,1,86,4.3,Yes,Yes,71,85,Placed
3.38,0,2,0,79,3.8,No,Yes,55,63,NotPlaced
3.42,1,1,1,68,3.8,No,No,57,69,NotPlaced
2.89,1,2,1,69,4.1,No,Yes,72,60,NotPlaced
3.73,2,3,0,74,4.3,Yes,Yes,74,84,NotPlaced
3.02,0,1,1,63,3.7,Yes,No,63,65,NotPlaced
3.33,1,2,2,82,4.1,Yes,Yes,83,69,NotPlaced
3.51,1,1,0,76,3.3,Yes,No,81,77,NotPlaced
3.82,1,3,2,87,4.8,Yes,Yes,75,85,Placed
3.47,0,3,2,89,4.7,Yes,Yes,72,88,Placed
3.33,2,2,0,70,4.4,No,Yes,55,62,NotPlaced
3.6,2,3,2,89,4.5,Yes,Yes,81,81,NotPlaced
2.98,1,1,1,67,4.7,No,Yes,81,64,Placed
3.6,2,3,2,90,4.5,Yes,Yes,80,88,Placed
2.89,0,2,1,79,4.3,No,No,57,71,NotPlaced
3.69,1,3,2,83,4.6,Yes,No,69,87,Placed
2.93,0,1,0,79,4.4,No,Yes,55,64,NotPlaced
3.47,0,3,2,82,4.5,No,Yes,60,63,Placed
3.33,0,1,0,60,3.8,No,No,55,67,NotPlaced
3.33,1,2,0,76,3.4,No,Yes,79,71,NotPlaced
3.64,2,1,2,74,3.9,No,No,79,64,NotPlaced
3.69,2,3,3,90,4.8,Yes,Yes,90,83,Placed
3.73,1,1,0,84,4.7,Yes,No,62,63,NotPlaced
3.69,2,1,1,79,4.2,Yes,No,78,74,NotPlaced
3.78,2,3,2,84,4.8,Yes,Yes,70,85,Placed
3.73,2,2,0,74,4.3,Yes,No,60,73,Placed
3.16,1,1,0,79,4.6,No,No,62,72,NotPlaced
3.38,2,2,3,86,4.8,Yes,Yes,85,84,Placed
3.91,1,3,0,88,4.4,No,Yes,71,82,NotPlaced
3.69,1,3,2,90,4.5,Yes,Yes,56,71,Placed
3.73,2,3,2,90,4.8,Yes,Yes,84,88,Placed
3.64,0,3,2,90,4.7,Yes,No,82,86,Placed
3.6,2,2,1,75,3.8,No,No,55,64,NotPlaced
2.89,1,1,0,74,3.5,No,No,74,62,NotPlaced
3.38,1,1,0,77,4.4,No,No,55,65,NotPlaced
3.69,1,3,0,76,3.8,Yes,Yes,77,66,Placed
3.16,1,2,0,89,4.7,No,No,78,69,NotPlaced
3.33,0,1,1,67,3.6,Yes,No,55,60,NotPlaced
3.42,0,3,1,68,4.4,Yes,No,62,62,NotPlaced
3.69,2,3,2,79,4.7,Yes,Yes,85,65,Placed
2.89,1,1,0,69,3.4,No,No,66,66,NotPlaced
3.73,1,3,0,76,4.7,Yes,Yes,72,74,Placed
3.6,2,1,1,90,4.4,No,No,70,84,Placed
3.38,2,2,2,90,4.1,Yes,Yes,82,80,Placed
3.69,1,3,2,90,4.8,Yes,Yes,75,80,Placed
3.29,2,2,0,81,4.7,Yes,Yes,74,65,NotPlaced
3.42,1,2,1,69,4.8,Yes,Yes,61,70,Placed
3.38,1,1,0,83,3.7,Yes,Yes,69,82,NotPlaced
3.38,1,1,1,73,4.1,No,No,55,67,NotPlaced
3.91,2,3,2,90,4.8,Yes,Yes,84,83,Placed
3.42,1,3,0,89,4.8,Yes,Yes,71,71,Placed
3.24,0,1,2,75,4.5,Yes,Yes,73,79,Placed
2.98,0,1,1,66,3.9,No,Yes,55,61,NotPlaced
2.89,1,1,0,75,3.5,No,No,55,67,NotPlaced
2.93,1,1,0,76,4.4,No,No,57,62,NotPlaced
3.16,0,1,0,69,4.2,No,Yes,57,71,Placed
3.82,1,2,2,80,4.8,Yes,Yes,73,80,NotPlaced
3.69,2,3,2,90,4.6,Yes,Yes,70,84,Placed
3.6,1,3,2,78,4.8,Yes,Yes,78,84,NotPlaced
3.38,0,1,1,77,3.4,No,No,58,67,NotPlaced
3.29,1,3,1,89,3.6,Yes,Yes,68,83,NotPlaced
3.33,1,2,1,71,4,Yes,Yes,72,63,NotPlaced
3.64,2,3,2,82,4.5,Yes,Yes,72,88,Placed
3.78,1,1,1,71,3.8,No,Yes,63,87,NotPlaced
3.73,2,3,2,90,4.6,Yes,Yes,83,88,Placed
3.29,1,1,0,75,4.3,No,No,60,64,NotPlaced
2.93,1,1,1,68,4.1,Yes,Yes,77,69,NotPlaced
3.82,2,3,2,84,4.7,Yes,Yes,71,82,Placed
3.64,2,3,2,89,4.8,Yes,Yes,84,86,Placed
3.47,1,2,1,89,4.8,Yes,Yes,70,73,NotPlaced
3.29,1,1,1,75,4.2,Yes,Yes,64,64,NotPlaced
3.64,1,3,2,90,4.7,Yes,Yes,83,82,Placed
3.69,2,2,0,76,3.9,No,No,83,80,NotPlaced
3.78,1,3,0,90,4.1,Yes,Yes,81,85,Placed
2.89,1,1,2,90,4.8,Yes,No,75,80,NotPlaced
3.73,1,2,2,88,4.1,Yes,Yes,66,86,Placed
3.87,1,1,0,83,4.3,No,No,66,70,Placed
3.6,0,2,1,79,4.4,No,No,68,66,Placed
2.93,0,1,0,88,4.3,No,Yes,55,72,NotPlaced
3.2,1,1,2,74,4.7,No,No,55,78,NotPlaced
3.29,1,2,0,78,3.9,No,Yes,73,72,NotPlaced
3.33,1,1,1,68,3.8,No,No,56,63,NotPlaced
3.64,1,3,2,88,4.4,Yes,No,74,84,NotPlaced
3.29,1,1,1,66,4.2,No,Yes,56,62,NotPlaced
3.42,0,2,0,70,3.6,No,Yes,57,66,NotPlaced
3.69,0,3,2,90,4.8,Yes,Yes,83,84,Placed
2.89,1,2,0,83,4.5,No,No,69,71,NotPlaced
3.33,1,1,1,64,4.3,No,No,55,71,NotPlaced
3.6,2,3,2,82,4.3,No,Yes,55,66,NotPlaced
3.87,1,3,1,88,4.6,Yes,Yes,76,80,Placed
3.69,1,3,2,85,4.2,Yes,Yes,73,83,Placed
2.89,0,2,0,69,3.6,No,Yes,55,75,NotPlaced
3.69,2,3,2,90,4.8,Yes,Yes,87,67,Placed
3.16,1,3,2,76,4.8,Yes,Yes,78,80,Placed
2.89,0,1,1,74,4.1,No,No,55,64,NotPlaced
3.07,1,3,1,79,4.2,Yes,Yes,73,71,NotPlaced
2.89,1,1,1,76,4.6,Yes,Yes,60,73,NotPlaced
3.33,0,1,0,75,3.7,No,No,61,70,NotPlaced
3.33,1,1,0,75,3.7,No,No,57,66,NotPlaced
3.51,1,1,0,87,4.4,No,Yes,58,70,Placed
3.33,1,2,1,60,3.4,Yes,Yes,78,84,NotPlaced
3.69,1,3,2,90,4.7,Yes,Yes,65,87,NotPlaced
3.64,0,3,2,90,4.8,Yes,Yes,78,87,Placed
3.38,1,1,1,83,4.2,Yes,Yes,68,86,Placed
3.78,0,3,2,90,4.7,Yes,Yes,70,86,Placed
3.82,2,2,2,90,4.8,Yes,Yes,78,83,Placed
3.78,1,3,2,90,4.3,Yes,Yes,72,87,Placed
2.89,1,2,1,70,3.9,No,No,56,68,NotPlaced
3.96,1,3,0,84,4.5,Yes,Yes,72,84,Placed
3.24,1,1,1,66,3.8,No,Yes,59,70,NotPlaced
3.51,1,2,1,87,4.4,Yes,No,58,83,NotPlaced
3.24,1,1,1,77,3.8,No,Yes,68,69,NotPlaced
2.89,1,1,1,78,3.6,No,Yes,86,67,NotPlaced
3.51,2,3,2,89,4.8,Yes,Yes,61,82,Placed
3.47,1,2,2,77,4.8,Yes,Yes,85,87,Placed
2.98,1,1,0,63,4,No,Yes,55,65,NotPlaced
3.69,2,3,2,70,4.2,Yes,Yes,82,68,NotPlaced
3.11,1,2,1,78,4.8,Yes,Yes,55,68,NotPlaced
3.69,1,3,2,90,4.8,No,Yes,79,87,Placed
2.89,1,1,1,68,3.4,No,No,60,69,NotPlaced
3.02,1,1,1,72,4.8,No,Yes,62,67,NotPlaced
2.89,0,1,0,86,4.5,No,No,63,69,NotPlaced
2.89,1,2,1,88,4.5,Yes,Yes,72,87,Placed
3.56,0,3,2,87,3.8,No,No,73,63,Placed
3.33,1,1,1,66,4,No,No,58,65,NotPlaced
3.6,1,1,0,77,4.8,Yes,No,57,63,Placed
3.29,0,1,0,60,3,No,No,55,70,NotPlaced
2.89,2,1,1,83,3.6,Yes,Yes,76,67,NotPlaced
2.89,1,2,2,90,4.5,Yes,Yes,55,70,Placed
3.38,1,1,1,70,4.4,Yes,Yes,78,63,NotPlaced
2.89,1,2,1,80,4.2,No,No,55,65,NotPlaced
3.51,1,3,1,84,4.1,Yes,Yes,74,62,Placed
3.64,1,2,0,75,4.5,Yes,Yes,55,62,Placed
3.02,0,1,0,67,3.6,No,No,55,62,NotPlaced
3.73,0,2,1,87,4.4,No,Yes,72,68,Placed
3.51,2,3,3,82,4.6,Yes,Yes,83,86,Placed
